City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,hit,33.6416,42.8251,28.24,18,1,4.17,IQ,1713988615
117,zhezqazghan,47.7833,67.7667,15.51,41,100,8.49,KZ,1713988615
118,sinop,41.7711,34.8709,22.99,30,100,5.02,TR,1713988615
119,afaahiti,-17.75,-149.2833,28.93,77,7,3.56,PF,1713988615
120,trenggalek,-8.05,111.7167,24.57,96,87,0.88,ID,1713988616
121,ak-suu,42.4995,78.527,9.15,58,99,2.17,KG,1713988616
122,whitehorse,60.7161,-135.0538,9.43,43,40,1.54,CA,1713988616
123,san antonio de pale,-1.4014,5.6325,28.59,81,98,4.44,GQ,1713988616
124,ilulissat,69.2167,-51.1,0.23,98,100,4.89,GL,1713988616
125,opuwo,-18.0607,13.84,23.2,17,1,3.07,NA,1713988616
126,conception bay south,47.4999,-52.9981,7.47,96,100,6.61,CA,1713988616
127,new norfolk,-42.7826,147.0587,11.07,69,100,4.21,AU,1713988616
128,hovd,48.0056,91.6419,1.03,63,100,2.83,MN,1713988616
129,remire-montjoly,4.9167,-52.2667,30.02,70,0,6.69,GF,1713988616
130,lukoyanov,55.0277,44.4786,9.65,62,100,2.44,RU,1713988616
131,uturoa,-16.7333,-151.4333,28.2,72,1,3.77,PF,1713988617
132,saint-philippe,-21.3585,55.7679,24.77,83,21,3.52,RE,1713988512
133,hasaki,35.7333,140.8333,14.22,91,100,4.13,JP,1713988618
134,keflavik,64.0049,-22.5624,10.95,66,75,3.6,IS,1713988618
135,alice springs,-23.7,133.8833,9.75,71,0,2.57,AU,1713988511
136,parnamirim,-5.9156,-35.2628,30.94,70,40,6.17,BR,1713988618
137,lydenburg,-25.0978,30.4597,15.31,66,2,0.73,ZA,1713988619
138,tura,25.5198,90.2201,24.07,69,0,2.77,IN,1713988619
139,klyuchi,52.2667,79.1667,-1.41,45,0,3.91,RU,1713988619
140,ribeira brava,32.65,-17.0667,20.4,75,1,1.62,PT,1713988619
141,kosterevo,55.9299,39.6144,8.06,68,96,2.79,RU,1713988521
142,road town,18.4167,-64.6167,30.02,70,40,4.12,VG,1713988619
143,lorengau,-2.0226,147.2712,27.55,82,100,2.44,PG,1713988619
144,thompson,55.7435,-97.8558,8.09,31,0,1.03,CA,1713988619
145,inhambane,-23.865,35.3833,23.99,88,75,0.0,MZ,1713988619
146,rongelap,11.1635,166.8941,27.39,80,100,9.25,MH,1713988622
147,mogadishu,2.0371,45.3438,29.37,80,98,5.01,SO,1713988390
148,west island,-12.1568,96.8225,27.99,83,75,6.69,CC,1713988622
149,lycksele,64.5954,18.6735,-1.07,100,75,0.0,SE,1713988622
150,magadan,59.5667,150.8,-0.26,97,99,1.42,RU,1713988622
151,griffith,41.5284,-87.4237,10.17,73,100,6.69,US,1713988622
152,selkirk,50.1436,-96.8845,18.37,27,0,4.47,CA,1713988562
153,tres arroyos,-38.3739,-60.2798,16.0,30,1,2.23,AR,1713988622
154,tapejara,-28.0681,-52.0139,24.21,88,90,1.57,BR,1713988622
155,port lincoln,-34.7333,135.8667,12.86,79,4,2.77,AU,1713988622
156,olonkinbyen,70.9221,-8.7187,-1.89,80,7,1.7,SJ,1713988623
157,mejit,10.2753,170.8646,27.69,75,96,9.25,MH,1713988623
158,talnakh,69.4865,88.3972,-7.66,90,82,1.25,RU,1713988623
159,berezovyy,51.6667,135.7,5.9,86,4,2.24,RU,1713988623
160,egilsstadir,65.2653,-14.3948,3.95,87,75,5.14,IS,1713988623
161,miquelon,47.0975,-56.3814,5.0,99,100,10.22,PM,1713988623
162,ouddorp,51.8117,3.9347,8.34,71,75,9.61,NL,1713988623
163,san luis,-33.295,-66.3356,17.31,63,97,3.38,AR,1713988623
164,chateaubriant,47.7167,-1.3833,9.84,86,19,2.09,FR,1713988442
165,kailua-kona,19.6406,-155.9956,26.95,79,40,4.12,US,1713988623
166,vila franca do campo,37.7167,-25.4333,18.27,99,57,4.45,PT,1713988623
167,faya-largeau,17.9257,19.1043,35.44,10,0,1.88,TD,1713988623
168,quincy,42.2529,-71.0023,19.06,47,40,6.17,US,1713988345
169,negara,-8.3151,114.6025,25.51,91,100,0.41,ID,1713988623
170,dudinka,69.4058,86.1778,-7.4,89,61,4.92,RU,1713988401
171,nizhniy odes,63.6445,54.856,-4.09,90,100,5.18,RU,1713988623
172,el granada,37.5027,-122.4694,19.41,66,100,2.57,US,1713988623
173,fada,9.5667,8.3,28.8,46,91,2.54,NG,1713988623
174,lashio,22.9333,97.75,20.16,72,97,0.71,MM,1713988623
175,twon-brass,4.3151,6.2418,29.3,81,100,4.77,NG,1713988623
176,happy valley-goose bay,53.3168,-60.3315,15.17,21,75,7.72,CA,1713988624
177,caleta de carquin,-11.0925,-77.6267,22.71,79,73,4.26,PE,1713988624
178,punta arenas,-53.15,-70.9167,9.01,78,100,3.6,CL,1713988563
179,tolbazy,54.0241,55.8825,12.14,82,100,1.59,RU,1713988624
180,puerto leguizamo,-0.1934,-74.7819,28.89,81,93,0.54,CO,1713988624
181,susuman,62.7833,148.1667,-8.9,97,72,2.24,RU,1713988429
182,rosamond,34.8641,-118.1634,23.9,40,0,10.29,US,1713988624
183,muntok,-2.0667,105.1833,26.36,91,100,2.37,ID,1713988624
184,berdigestyakh,62.0989,126.6992,-9.13,89,100,5.5,RU,1713988624
185,guozhen,34.3659,107.359,15.22,64,88,1.83,CN,1713988624
186,chichiriviche,10.9333,-68.2772,28.2,77,45,4.87,VE,1713988624
187,kone,-21.0595,164.8658,22.22,91,61,0.89,NC,1713988624
188,tual,-5.6667,132.75,28.67,75,99,3.06,ID,1713988624
189,port alfred,-33.5906,26.891,17.32,92,100,2.24,ZA,1713988624
190,qaqortoq,60.7167,-46.0333,0.71,91,79,0.19,GL,1713988624
191,arica,-18.475,-70.3042,26.75,60,0,6.17,CL,1713988497
192,batie,9.8833,-2.9167,27.95,55,100,2.79,BF,1713988624
193,newport,51.5877,-2.9984,10.46,81,100,2.3,GB,1713988624
194,novoagansk,61.9449,76.6625,-5.88,96,100,2.17,RU,1713988625
195,corner brook,48.9667,-57.9484,5.09,99,100,2.07,CA,1713988625
